,Region,District,EPA,Lat,Lon,Altitude,Gender,Literacy,Number_followers,Date_trained,Length,Farm_size,Sust_Ag_Activities,Types_Sust_Ag,Full_CA,Partial_CA,Agroforestry,Manure_making,Pit_planting,Sust_Other,Crops,Crops_Maize,Crops_Millet,Crops_Sorghum,Crops_Cassava,Crops_Sweet_Potato,Crops_European_Potato,Crops_Soya,Crops_Groundnuts,Crops_Beans,Crops_Pigeon_Pea,Crops_Cowpea,Crops_Sugarcane,Crops_Other,Vegetables,Fruit_trees,Livestock,Type_livestock,Livestock_Cattle,Livestock_Chickens,Livestock_Ducks,Livestock_Goats_Sheep,Livestock_Guinea_Fowl,Livestock_Pigs,Livestock_Other,Livestock_Rabbits,X_id
1,Northern,Nkhatabay,Nkhatabay,-11.74594421,34.23243816,555.7204521,Female,Primary School,2,2016-08-02,1033,0.5,No,,NA,NA,NA,NA,NA,NA,Maize,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Chickens,0,1,0,0,0,0,0,0,42324537
2,Central,,,-13.9819715,33.7656852,1060.099976,Female,Tertiary,15,2017-09-23,616,0.8,Yes,Manure Making,0,0,0,1,0,0,Groundnuts,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Yes,Yes,Chickens,0,1,0,0,0,0,0,0,38254924
3,Central,Lilongwe,Chiwamba,-13.98207893,33.76567116,1035.427124,Female,Primary School,30,2017-07-07,694,0.8,Yes,Agroforestry,0,0,1,0,0,0,Sorghum Cassava Sweet Potato,0,0,1,1,1,0,0,0,0,0,0,0,0,No,Yes,Yes,Goats/Sheep,0,0,0,1,0,0,0,0,38268904
4,Central,Lilongwe,Demera,-13.7460434,33.37154247,1089,Male,Secondary School,23,2015-09-23,1347,0.4,Yes,Manure Making Pit Planting,0,0,0,1,1,0,Maize,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,,NA,NA,NA,NA,NA,NA,NA,NA,39472265
5,Central,Lilongwe,Demera,-13.759025,33.36796,1106.1,Female,Primary School,21,2018-07-10,326,1.2,Yes,Agroforestry Pit Planting,0,0,1,0,1,0,Maize Soya Groundnuts Cow Peas,1,0,0,0,0,0,1,1,0,0,1,0,0,Yes,Yes,Yes,Goats/Sheep Pigs Chickens,0,1,0,1,0,1,0,0,39467599
6,Central,Lilongwe,Demera,-13.72955333,33.342475,1099.7,Male,Secondary School,30,2015-04-22,1501,0.8,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Pit Planting",1,0,0,0,1,0,Maize Soya Other,1,0,0,0,0,0,1,0,0,0,0,0,1,Yes,No,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39467603
7,Central,Lilongwe,Demera,-13.766225,33.38627,1122.6,Female,Primary School,30,2016-09-30,974,0.8,Yes,Pit Planting,0,0,0,0,1,0,Maize Groundnuts Beans,1,0,0,0,0,0,0,1,1,0,0,0,0,Yes,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,39467608
8,Central,Lilongwe,Demera,-13.77441167,33.38292833,1115.2,Male,Secondary School,30,2015-07-03,1429,1,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Pit Planting",1,0,0,0,1,0,Maize Soya Groundnuts,1,0,0,0,0,0,1,1,0,0,0,0,0,Yes,No,Yes,Goats/Sheep,0,0,0,1,0,0,0,0,39467615
9,Central,Lilongwe,Demera,-13.76973,33.400955,1140.2,Female,Primary School,25,2016-09-30,974,0.8,Yes,Pit Planting,0,0,0,0,1,0,Maize Groundnuts Other,1,0,0,0,0,0,0,1,0,0,0,0,1,Yes,No,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39467623
10,Central,Lilongwe,Demera,-13.74242632,33.35440236,1063,Female,Secondary School,28,2014-09-26,1709,0.8,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Agroforestry Manure Making",1,0,1,1,0,0,Maize Soya Groundnuts,1,0,0,0,0,0,1,1,0,0,0,0,0,Yes,Yes,Yes,Pigs,0,0,0,0,0,1,0,0,39472249
11,Central,Lilongwe,Demera,-13.7585969,33.39665851,1107,Male,Secondary School,29,2016-10-20,954,0.8,Yes,Agroforestry Manure Making Pit Planting,0,0,1,1,1,0,Maize Soya Groundnuts Beans Other,1,0,0,0,0,0,1,1,1,0,0,0,1,Yes,Yes,Yes,Chickens Rabbits,0,1,0,0,0,0,0,1,39472268
12,Central,Lilongwe,Demera,-13.76766837,33.38891002,1094,Male,Secondary School,21,2018-10-29,215,0.8,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Pit Planting",1,0,0,0,1,0,Maize Soya Groundnuts Other,1,0,0,0,0,0,1,1,0,0,0,0,1,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39472273
13,Central,Lilongwe,Demera,-13.7695372,33.39497404,1105,Female,Primary School,20,2016-09-30,974,1.5,Yes,Pit Planting,0,0,0,0,1,0,Maize Soya Cow Peas,1,0,0,0,0,0,1,0,0,0,1,0,0,No,No,Yes,Chickens,0,1,0,0,0,0,0,0,39472276
14,Central,Lilongwe,Demera,-13.75998094,33.36715498,1082,Female,Secondary School,29,2015-10-29,1311,1.6,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Pit Planting",1,0,0,0,1,0,Maize Soya Beans Other,1,0,0,0,0,0,1,0,1,0,0,0,1,Yes,No,Yes,Goats/Sheep Pigs Chickens,0,1,0,1,0,1,0,0,39547357
15,Central,Lilongwe,Demera,-13.72938917,33.34452837,1079,Male,Secondary School,29,2016-10-29,945,2,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Pit Planting",1,0,0,0,1,0,Maize Other,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes,No,Yes,Chickens,0,1,0,0,0,0,0,0,39547363
16,Central,Lilongwe,Demera,-13.73839871,33.37315416,1094,Female,Primary School,30,2018-10-29,215,0.5,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Manure Making Pit Planting",1,1,0,1,1,0,Maize Soya Groundnuts Beans Other,1,0,0,0,0,0,1,1,1,0,0,0,1,Yes,Yes,Yes,Cattle Goats/Sheep Chickens Rabbits,1,1,0,1,0,0,0,1,39547367
17,Central,Lilongwe,Demera,-13.73518433,33.38359575,1111,Male,Primary School,29,2015-10-29,1311,1,Yes,Manure Making Pit Planting,0,0,0,1,1,0,Maize Soya Beans Other,1,0,0,0,0,0,1,0,1,0,0,0,1,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39547404
